	LeukocyteMeth_score	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA.23.2078.01	0.220661066203066	391.85314285714304	67.8269	73.4366142857143	6.842175	175.2565875	417.96818571428594	51.70312	242.33227999999997	331.54525806451596	72804.83675
TCGA.23.2081.01	0.0501188113073435	54.790914285714294	6.0349	10.7457428571429	1.72425	15.16795	136.584742857143	11.724860000000001	322.103113333333	255.518612903226	28951.537975
TCGA.23.2084.01	0.0978131088807635	120.10688571428601	8.5945	15.7446142857143	3.0965875	56.78085	395.6056	13.4985	128.260866666667	222.498609677419	21943.547775
TCGA.24.0975.01	0.279522851934706	779.5452	29.5589	39.9836714285714	4.7681	46.301225	259.516414285714	48.40266	178.52331999999998	437.69221935483904	81710.82005
TCGA.24.1103.01	0.039880584555177005	66.73107857142861	4.6782	13.6335857142857	1.9882375	13.0404375	84.9426142857143	4.21036	211.67264	267.671406451613	3610.4919125
TCGA.24.1413.01	0.0718662200637279	36.474642857142896	3.6143	10.400242857142901	4.195125	111.526175	221.720971428571	11.049339999999999	227.251806666667	335.943467741935	3702.7201375
TCGA.24.1416.01	0.0797648084698524	93.2316642857143	3.1211	24.255385714285698	4.291525	75.2184875	284.10915714285704	17.97754	213.275073333333	250.87954516128997	4980.25905
TCGA.24.1417.01	0.128061678563849	85.7118785714286	52.9645	126.840085714286	13.6101	51.4464	801.648228571429	45.6102	217.88536000000002	317.0401	20365.1433875
TCGA.24.1418.01	0.0975719042313704	392.111264285714	14.8833	21.549242857142897	2.4638	324.4167375	293.58694285714296	18.42316	218.07456000000002	295.09758064516103	46975.9784875
TCGA.24.1419.01	0.0578770168520118	12.75655	0.0	1.12675714285714	0.4929625	329.50705	92.6817142857143	6.0845199999999995	369.08922	185.518132258065	4490.6338
TCGA.24.1423.01	0.0638271973889209	215.46915	10.9467	22.7388	3.180475	80.5843375	214.69695714285703	72.30768	308.579873333333	377.264935483871	12723.0506625
TCGA.24.1424.01	0.10510680258022999	57.5766785714286	10.2225	18.4034857142857	2.743525	38.3719125	374.694614285714	28.02164	215.93506666666698	393.889987096774	23558.748125
TCGA.24.1425.01	0.13863261404029	50.0203785714286	13.1092	40.8777714285714	9.1975875	66.0746125	688.6261142857139	54.6358	375.797306666667	838.672306451613	107874.2991
TCGA.24.1427.01	0.18697453314358997	85.32597857142859	71.1731	60.336185714285705	3.1451125	77.297925	637.441228571429	37.768240000000006	323.70052000000004	371.71535483871	57906.8575625
TCGA.24.1428.01	0.126413787015656	240.941614285714	23.433000000000003	54.1054428571429	12.86375	79.330525	861.5544	25.73726	164.57788	216.04534516129	7910.4580625
TCGA.24.1430.01	0.0654312863891397	15.6494	4.2052	4.86604285714286	1.15645	60.1345625	143.638114285714	15.138760000000001	253.266046666667	298.591803225806	10580.1781875
TCGA.24.1434.01	0.21963570221966502	306.697235714286	13.6281	20.1176714285714	4.6820125	43.8749125	1055.04152857143	35.97818	221.098313333333	279.29504838709704	131984.82285
TCGA.24.1435.01	0.11409009632174599	105.616357142857	34.2703	35.0404285714286	2.9842125	26.1359375	590.4747142857141	60.223319999999994	201.309206666667	301.708664516129	76110.6079125
TCGA.24.1436.01	0.130170420035041	369.918442857143	20.733	77.5921428571429	8.4318875	19.1268875	593.997028571429	17.22878	264.40842000000004	175.802635483871	16275.4591875
TCGA.24.1463.01	0.0980597321781303	144.58272857142902	7.936	24.040542857142896	3.93885	80.8484625	654.1235	131.3182	285.37084	356.648935483871	44536.974975
TCGA.24.1467.01	0.0932402571895798	64.90862857142861	13.9535	20.9568	2.1802375	89.680225	231.727585714286	10.0	195.93022666666698	194.50055483871003	6267.1148375
TCGA.24.1469.01	0.0664350547912569	191.074785714286	52.5328	46.49101428571429	4.4559125	61.7729625	205.98177142857102	22.063779999999998	244.65290666666698	143.357135483871	2577.8072125
