	LeukocyteMeth_score	B.cells	CD45	CD8.T.cells	Cytotoxic.cells	DC	Exhausted.CD8	Macrophages	Mast.cells	Neutrophils	NK.CD56dim.cells	NK.cells	T.cells	Th1.cells	Treg
TCGA.29.1761.01	0.138089962518046	-0.277377123233388	0.15843207786711802	-0.00975925930858889	-0.0974689895914592	-0.21013776314801197	-0.10919670777169802	0.15303814408121	-0.340137493246604	-0.21923482257742902	-0.35788366421330103	-0.241786723842024	-0.12297853095252499	-0.27824798984341903	-0.0853258569614896
TCGA.29.1762.01	0.0678286598463512	-0.31701446765137	-0.0500952179432924	-0.215565063221858	-0.34679561444702295	-0.133763949300659	-0.209199253354715	0.0970908215899661	-0.33830654612237393	-0.174235330580005	-0.41869858309227204	-0.274176036328079	-0.322680278823902	-0.528459585272958	-0.26412399492171
TCGA.29.1763.01	0.0955956033758019	-0.211722487495195	0.0846910706728735	-0.199899719611925	-0.19498071971185896	-0.0296910694473129	-0.11196296675746199	0.17230617541101903	-0.357606719152301	-0.210020211558024	-0.363200139023421	-0.341276754422644	-0.22888327841555398	-0.25640076174354604	-0.214980956411342
TCGA.29.1770.01	0.058746397254464004	-0.214777916652519	-0.0040732120186204	-0.21542862286093697	-0.180771914848525	-0.241726978386275	-0.172548933550583	0.10492752451035199	-0.274884894881546	-0.206124367323302	-0.354612223146331	-0.320904193724908	-0.24302663609252398	-0.31194456199746096	-0.251851460008464
TCGA.29.1770.02	0.06643919633063901	-0.214037441983591	-0.00925730004231909	-0.24000004277178696	-0.135067065734171	-0.323893980261424	-0.181152238304744	0.10524000494856199	-0.30324071315655393	-0.220467888684673	-0.365770991734001	-0.265260828999845	-0.264680931117675	-0.30184088023698696	-0.25417900973339
TCGA.29.1776.01	0.0576512235780922	-0.24000371182737498	0.0507300042319086	-0.117157529060949	-0.207304861911313	-0.22796574723142396	-0.16998875364213903	0.0458085506744221	-0.18474381786709804	-0.22870828550976802	-0.36732932499556603	-0.31361901311458396	-0.180491640022773	-0.273063901819721	-0.185569191705459
TCGA.29.1778.01	0.110293838982789	-0.199813073833469	0.19281633516715999	-0.101007403494725	-0.0442317002166116	-0.0262371279960808	-0.11121184149656699	0.16839705331034802	-0.23556273626058702	-0.23262878707012302	-0.291451123115161	-0.23683902205873397	-0.10767564220921799	-0.17800465509945002	-0.0920969107067287
TCGA.29.1781.01	0.180813039196654	-0.0535334426518279	0.369286923402455	0.14820221089033098	-0.00161774153290692	-0.04362348068243	0.00322160962296081	0.29933332124437	-0.281950083695334	-0.10830103875657801	-0.25242003757686604	-0.208921779531894	0.0113287375475492	-0.1308717731697	-0.08924037240795599
TCGA.29.1783.01	0.12143549656629199	-0.19891994601419896	0.21540414727041896	-0.103022963270384	-0.18064047678548298	-0.0828483086142711	-0.14386446613057502	0.228549356466823	-0.215573890133661	-0.15564416970550302	-0.32326515701599395	-0.290626254593587	-0.17083431373080102	-0.278671180702497	-0.113520947947524
TCGA.29.1784.01	0.159674849556211	-0.158931997705035	0.28152771900127	0.00397912796282708	-0.0920668162047905	-0.109232195280755	-0.109221426348297	0.20296899881545202	-0.232512336279695	-0.13918149453288903	-0.288715595559557	-0.247073330973784	-0.0703350601788641	-0.195831570038087	-0.11526661024121901
TCGA.29.1785.01	0.0965779459706547	-0.19417556626590698	0.301999576809141	0.0754199454452396	0.0213542855645965	-0.16064396487448498	-0.0050544613316721295	0.23606341904734898	-0.22570211413971397	-0.14106091700809398	-0.22231452675392102	-0.15155640467621698	-0.0417737325993753	-0.138277613203555	-0.00544858231062209
TCGA.29.2414.01	0.0471988761343119	-0.22639322296128198	-0.0937367752856538	-0.199499780762166	-0.332447092100816	-0.261457903264954	-0.21140872309018302	0.0106414263599423	-0.236577999696148	-0.257088178723105	-0.347513699672904	-0.39996849318489497	-0.26977340977557895	-0.338922979263648	-0.25126957257723204
TCGA.29.2414.02	0.14967459801584	-0.136260726910291	0.235505713076598	0.053730465571021	-0.101712416505797	-0.119636947477687	-0.0919032548704901	0.11870590583757598	-0.269484387348562	-0.235464311860777	-0.31030026618354806	-0.225770666841425	-0.0828246915009167	-0.18027930596699104	-0.0754866694879391
TCGA.29.2425.01	0.0610344963400271	-0.163694629029568	0.0383516716038933	-0.177692204008227	-0.12167548723156299	-0.16969304935733803	-0.16557194642617099	0.0667001396570451	-0.180584759840095	-0.228850714424505	-0.309912401364868	-0.23868617220616103	-0.203795219177841	-0.226142615319509	-0.18345323741007197
TCGA.29.2427.01	0.290086382204691	-0.19262721430808202	0.388647905205248	0.156799945443971	0.0998183723736254	-0.17803295247513198	0.007965343444665441	0.302903964284633	-0.179008677718484	-0.113848440172403	-0.18358871679676503	-0.13166214903041598	0.0147289083093437	-0.10923614049936502	-0.0573952602623783
TCGA.29.2428.01	0.11744403508036601	-0.10683391181136999	0.25116377486246305	0.0377773285575515	-0.0393429772257418	0.0369565798141456	-0.0806848886575551	0.208845982388059	-0.23298210778671696	-0.17981819142380603	-0.274215915238907	-0.23504271081846498	-0.0183130329985122	-0.15975454930173497	-0.0506771053745239
TCGA.29.A5NZ.01	0.0326013567720752	-0.284984388779825	0.0913563267033432	-0.242977031976825	-0.24797273127086603	-0.20913181868135	-0.195222565236892	0.066668797178306	-0.267553671964322	-0.26034100498310303	-0.33837029860042794	-0.29058171738578803	-0.223489085376426	-0.287082099026661	-0.0916737198476513
TCGA.30.1718.01	0.166822777241379	-0.237737823424672	0.143726195514177	-0.0959890420043837	-0.12843326467981403	-0.229200243615756	-0.15194066791167002	0.12749344078747302	-0.247724713834222	-0.233686487611635	-0.336225890030342	-0.278983468910118	-0.13192510808319	-0.220376639864579	-0.10960643250105802
TCGA.30.1855.01	0.13550598328649302	-0.147109656249202	0.20466567922132897	-0.0955284783145395	-0.154735228285877	-0.238172694108162	-0.130238949056479	0.164887638772803	-0.27481219579083	-0.163055349190397	-0.29336699667796196	-0.28472634127130503	-0.09296157170684301	-0.226301311891663	-0.0490372407955988
TCGA.30.1857.01	0.124668841027062	-0.291282287387075	0.18779094371561603	-0.0610186791188278	-0.0957488115247428	-0.25235954268566396	-0.13972184999193302	0.12318232434841901	-0.152701151777048	-0.22182296280615402	-0.330654556414217	-0.24044493142198603	-0.123079167704784	-0.24592678798138	-0.0919382141345747
TCGA.30.1860.01	0.209468642027908	-0.22332710758518398	0.28623571730850605	0.0698956993365163	0.0902321159470177	-0.13558344808529402	-0.0215570038953305	0.212906738526026	-0.253185899605964	-0.12833000796367403	-0.205924525917935	-0.18342894587070105	0.000484715129788445	-0.160918324164198	-0.10235928903935698
TCGA.30.1861.01	0.0827317533894677	-0.21711671303471	-0.069033008887008	-0.241537385173032	-0.269327513815848	-0.263045368358453	-0.21150758809694503	-0.0137578426638981	-0.35046123592306705	-0.30007952009740396	-0.35315492970639206	-0.36834114109738997	-0.260226441550381	-0.341567922132882	-0.193080829454084
TCGA.30.1862.01	0.10386692887739801	-0.191821310402836	0.048666948793906	-0.11371821040509	-0.18201177478110897	-0.24651063393943998	-0.16957991514682402	0.0475544201193569	-0.229686065177799	-0.219565713831506	-0.313470694574389	-0.3215719156258	-0.17628365861887696	-0.26370080406263197	-0.164039356749894
TCGA.30.1891.01	0.12807652409319198	-0.18706236764541398	0.11415573423613999	-0.0651687193774699	-0.11828513371497698	-0.15981136668548598	-0.122971255349392	0.150101580314437	-0.16758542575371	-0.191856875920119	-0.337371778780908	-0.237521950608517	-0.130850204677709	-0.23973762166737198	-0.19768303004655105
TCGA.31.1944.01	0.136100761186679	-0.187199861671305	0.12965509944985198	-0.151195878727197	-0.169548426074537	-0.1405706421052	-0.17574018929119	0.161112565014857	-0.282245570544944	-0.15956122054683403	-0.322266909961637	-0.307161544135628	-0.164361715612917	-0.265552264071096	-0.11627168853152803
TCGA.31.1946.01	0.169152174769555	-0.21007963055902698	0.21482225983918696	-0.127494601028206	-0.151627052373992	-0.14578099071163197	-0.117114919180364	0.270357695071904	-0.145092911997382	-0.17044062714730804	-0.18834679646226302	-0.292848788470698	-0.15099973371065198	-0.250423190859077	-0.0864896318239526
TCGA.31.1951.01	0.11196817905790898	-0.20612420091407102	0.257088446889547	-0.120371016829191	-0.0586784486845357	-0.13676375125279	-0.0781366998861709	0.24994317562317497	-0.25781746527291605	-0.164745173182255	-0.27766070843199203	-0.23906019169993697	-0.13370666029252698	-0.203396106644096	-0.0284066864155734
TCGA.31.1953.01	0.168323688974648	-0.27264719800832	0.405152348709268	-0.0532287774483734	0.0980981424666599	-0.116594635383884	-0.0347579944014135	0.295090544832533	-0.312506990336546	-0.0893036173512876	-0.163012991526867	-0.145759039339817	-0.0775039373890853	-0.158379179009733	-0.0389864578925095
TCGA.31.1956.01	0.24576093820874698	-0.155088878013868	0.4663563267033429	0.16425621575396	0.0554189368808152	0.12501180416701801	0.009095084925761691	0.397741832470707	-0.14045000396399498	-0.07683780206741299	-0.19547622146338298	-0.18474904568232603	0.0573572260088069	-0.159066864155734	0.0166102412187897
TCGA.31.1959.01	0.227924559809147	-0.16972707039423998	0.30051840880236996	-0.0945159809622506	-0.12517242454894098	-0.0864580452999337	-0.0751100365585175	0.272747317019029	-0.19764051142489103	-0.0678767557860948	-0.306240367394085	-0.25479121182682296	-0.0931564397413641	-0.253808717731697	-0.119974608548455
TCGA.36.1568.01	0.0935719059023287	-0.233473509468714	0.17477782479898402	-0.0995006540541764	-0.12977413730846002	-0.12568116118422698	-0.14084357925965302	0.16491238985892098	0.0244161937998962	-0.17583481469012902	-0.27514994335521004	-0.26754403909428304	-0.141078561582327	-0.261320355480322	-0.0763330512060939
TCGA.36.1569.01	0.19316145683348	-0.118548953953612	0.33844688954718605	0.0370388519336008	-0.113603258223131	-0.18355213809396803	-0.0945907938473608	0.20688957720029197	-0.18605146412237397	-0.14479074992401	-0.296789019867645	-0.255222357459323	-0.0641089644619998	-0.205035971223022	-0.0700909860347017
TCGA.36.1570.01	0.0476916257280437	-0.331304516658977	-0.000211595429538726	-0.21428045391610898	-0.238940372852307	-0.202145242500524	-0.20375242870468802	0.0934255819716234	-0.339287140964878	-0.229265469643068	-0.34391782181616	-0.33743747465394897	-0.222806540347258	-0.309088023698688	-0.190382987727465
TCGA.36.1571.01	0.0349886524640863	-0.34221273286497994	-0.0885526872619551	-0.245891774737473	-0.235851481015663	-0.157620919150668	-0.208862294250337	0.0107904195440494	-0.18266948725424598	-0.257742553126098	-0.39271696758394703	-0.292824562642149	-0.14546608663294502	-0.33987515869657203	-0.18466991112992
TCGA.36.1574.01	0.0676045754009177	-0.296484827142917	0.143831993228946	-0.16465945734566	-0.14682967952572198	-0.171078410533061	-0.15656160812317302	0.170288861526528	-0.21970529119291898	-0.16583704516792902	-0.26518383580176996	-0.26343131417584803	-0.148252498915393	-0.24222386796445197	-0.126163774862463
