	LeukocyteMeth_score	B_cells	Cytotoxic_cells	Dendritic_cells	Endothelial	Eosinophils	Fibroblasts	Macrophages	Macrophages_M1	Macrophages_M2	Mast_cells	Monocytes	NK_cells	Neutrophils	Plasma_cells	T_cells_CD4	T_cells_CD8	T_cells_gamma_delta	T_regulatory_cells
TCGA.36.1570.01	0.0476916257280437	-0.07658375712003301	-0.34346801612475997	-0.00659061190410269	-0.0710955645646217	-0.0270200086639596	-0.0388532265386895	0.120058290168449	0.0827985441914716	0.0660695414263096	-0.0124384272156359	-0.0244219244040896	-0.24142824606385702	-0.21086641070792297	0.21101894654400502	-0.15903797127907598	-0.158456050295174	-0.17956099011812102	-0.20786895576532102
TCGA.36.1571.01	0.0349886524640863	-0.158395689432268	-0.3706840329311629	-0.10516142391881099	-0.0490123924999773	-0.0716389058987943	0.0328665767012741	0.0551604237874523	0.00975313207865958	-0.0340723225012198	-0.10958487625371599	-0.0969621557725168	-0.306552244534639	-0.25586730517001	0.22148642324641	-0.202564074839195	-0.197755943513489	-0.23435804363644197	-0.27869931444005197
TCGA.36.1574.01	0.0676045754009177	-0.016449744238459997	-0.21247314609347698	0.0847751566073327	0.0423668036282182	0.10515217359054198	0.166258812773098	0.23243028632870896	0.18749180673795499	0.151998190945724	0.14198747296309802	0.05885972714609	-0.147500490682733	-0.0824820616259071	0.299777582886848	-0.041560847669043	-0.0624286488295988	-0.0808852466514516	-0.0707998328866635
TCGA.36.1575.01	0.0258887164645988	-0.19705638933835504	-0.467207759443914	-0.17084850893447398	-0.172404465151858	-0.146201764337164	-0.0587893140266999	0.0142660081814971	-0.0662159502683282	-0.0679498821106058	-0.165717474669762	-0.12375220405537199	-0.36817957843062393	-0.275612482176163	0.150347983584373	-0.25710997753373	-0.250434782270521	-0.269743604778143	-0.317996815803799
TCGA.36.1576.01	0.265219649942059	0.136298254906411	-0.111265608415275	0.192499895854882	0.10239005658731601	0.18148837033688797	0.292932516229785	0.317210294294334	0.258335287287094	0.298758907561057	0.172947887054526	0.198672970411411	-0.0172865885735653	-0.008520164525826459	0.327406288627433	0.0744084276562686	0.0943088725478768	0.0265058038335886	0.100665634922419
TCGA.36.1577.01	0.10355779297518	-0.101625057418756	-0.459140792372355	-0.109366960012857	-0.0124317318669804	-0.0371932273413459	0.0393491205646205	0.0770098754184467	-0.033173190911396	-0.00433263442612602	-0.0354612386450181	-0.0727818568717054	-0.367538080561379	-0.16907999981635097	0.210411152087802	-0.22652379079186302	-0.21751497971072	-0.278402777020487	-0.261778280182367
TCGA.36.1578.01	0.0895173663587279	0.10780892602112699	-0.0705759237902757	0.182513824447053	0.0185150948779488	0.134608474047438	-0.0571774080420753	0.300819692593803	0.267506757835689	0.245137272761185	0.189381878736535	0.15924306351946899	-0.0119524287868374	-0.0222985135217275	0.270484471956126	0.0521513856079881	0.0663322085602717	0.0208648549148325	0.0477607894019021
TCGA.36.1580.01	0.15122252526839	0.0935449819688947	-0.183100396551755	0.14264216470221	-0.0251644802076943	0.131108734142036	0.283168303664852	0.278165535099615	0.20684115974968803	0.22971982964867604	0.158952901153077	0.139172443067855	-0.0843783750813265	-0.0116838442299128	0.383822103826491	0.00421408923249075	0.0129607250947135	-0.0490709666906442	0.00997350305144426
TCGA.36.1581.01	0.19495238585378	0.17060421880706	-0.0923321586271768	0.200550745441875	0.0671688755766153	0.17910729881621	0.0811945406344451	0.305938848136078	0.276163476180498	0.255124165513166	0.19226553540299804	0.168633284006963	-0.00718197690082664	-0.00828624535481588	0.379344890206709	0.0934043154725039	0.10193243790399302	0.0783529179926397	0.131319691747338
TCGA.3P.A9WA.01	0.0767658859551187	-0.0645310212208307	-0.299761596497408	-0.0415250218168082	-0.0965410464495754	-0.032341488190404	-0.14666435720791002	0.130723412404712	0.0618989591759182	0.029176409546832	0.0393687753615026	-0.019104167860506	-0.226408160461946	-0.171898870155449	0.16706513037472198	-0.135173355303879	-0.13848090109310598	-0.14773244155875198	-0.17234606232963504
TCGA.57.1582.01	0.078132454921112	-0.0919538051398941	-0.27140171434222304	0.00756060802752208	-0.0230173635125797	0.0459282348238122	0.0717059248498456	0.172901816269877	0.0985230856047913	0.0681844888049628	0.0335635657870942	0.00638793241869544	-0.225445571283267	-0.14547605505950598	0.232506940601226	-0.0940825721273721	-0.104087516398633	-0.140887401686482	-0.11238123019752
TCGA.57.1583.01	0.0199933118369598	-0.13628564354294	-0.314301401183453	-0.0931285187688708	0.0155711611660272	-0.0339144817662127	0.11943851079483699	0.0917752129520142	0.0292551496402339	0.00109311446908098	0.0297719489688141	-0.0768345841561244	-0.23283484972870896	-0.196582675449338	0.17107432418809898	-0.177864066781699	-0.181207698065463	-0.173734907785337	-0.22672499679211397
TCGA.57.1584.01	0.084977140411361	0.0194534133140046	-0.266137735265605	0.0282672888673559	0.0038029631561974603	0.0489657088302114	0.0428709021545766	0.19230756970952398	0.11327909195047699	0.153386142153743	-0.0144951360649713	0.0704262774015114	-0.17108709548477602	-0.146926649169976	0.253978606102464	-0.105190005510351	-0.0909795904281763	-0.111035408233895	-0.13399795948838197
TCGA.57.1585.01	0.160712922203324	0.0386076158582042	-0.236808717435036	0.10115779095414999	0.0867048027764648	0.12798123348683998	0.254236008920087	0.248854818451742	0.16082599244579002	0.181411751751207	0.15304800278074202	0.124060441522303	-0.135176143029372	-0.0491770659831829	0.287451441875335	-0.019231312541327997	-0.0105901607646433	-0.0757493264765863	-0.0398258564724417
TCGA.57.1993.01	0.0461623500042855	-0.0421033994575283	-0.4214548442203879	-0.0103299539156004	-0.0626404972174008	0.0122025541827171	0.0428553872789078	0.194275055888085	0.0925128693194954	0.10807045623453398	0.0299781562701446	0.0442846485379958	-0.250016001654832	-0.14180066374891698	0.24668988576022602	-0.165783828850506	-0.154559407545393	-0.190396416283431	-0.21400850596684198
TCGA.57.1994.01	0.14566989527991503	0.0606843667953276	-0.148660151537198	0.140256754746518	-0.0530577970476396	0.0976671570941198	-0.0139068683750562	0.272478457188719	0.218736404566315	0.21456124124384002	0.18149174285619002	0.121548465858732	-0.0413994796805389	-0.106531932425074	0.300784691721003	0.0505263247457731	0.05855916571131299	0.0118098644274247	0.0751011711392839
TCGA.59.2348.01	0.160368187306793	0.0126954854036447	-0.25295281988928303	0.0382556837345199	0.0999738413973368	0.0605458871304097	0.0361369342160163	0.203571470756034	0.121360260741975	0.0915910805590177	0.0935249149486709	0.0473483162990253	-0.172528891470367	-0.12247750176555099	0.306864667784003	-0.0971740927642019	-0.0707958479668826	-0.106022503267987	-0.130355103724345
TCGA.59.2350.01	0.17719382904937497	-0.0783516725053092	-0.29345213538410303	0.000780748828227317	-0.0866151827961608	0.0019335164200375101	0.0257364931161558	0.182267243190559	0.11808567669521099	0.12179728591034401	0.0357488288066727	0.0108561233482059	-0.22783450991458498	-0.172252890645374	0.260908163833673	-0.132037872777162	-0.12107126068962	-0.147399408100403	-0.152489695022896
TCGA.59.2351.01	0.24905811553707302	0.10710634469649401	-0.16456890001569102	0.15570916263665302	0.0545917555325847	0.159084919236801	0.14899254568324302	0.291035498646299	0.24379229670079802	0.25013048533409804	0.17871353889161704	0.151019522644222	-0.0984342174459476	-0.0626893032013522	0.353111904548101	0.0157535154611721	0.0128516358522862	-0.0156818570246552	0.0177428115782003
TCGA.59.2352.01	0.124038099115378	0.0281784205171643	-0.21414185047710899	0.0526656159542017	-0.0595137360121146	0.0426610967775998	0.140245648149586	0.178072341498093	0.164836322140121	0.12676535026602098	0.0766409038337937	0.0133474501095725	-0.11922801302571401	-0.167480635144133	0.276869317259354	-0.06859925092120299	-0.0564477251608971	-0.0741446585886456	-0.0613288342508942
TCGA.59.2354.01	0.181476160428926	0.0716767009499446	-0.0888495258220056	0.136151593352069	0.0839524222194118	0.12264581166140198	0.19977998602551003	0.280690987327505	0.21257460213539603	0.24122181176068802	0.17954060134396	0.135705429948971	-0.0471236643850944	-0.0618730043859249	0.30971551821488	0.0237219911529007	0.0499181030338144	-0.00492581436362339	0.0455979860348941
TCGA.59.2355.01	0.100392164166923	-0.0247864552787073	-0.174547667554619	0.0201903382077136	-0.0111465863441673	0.0517349406876757	0.179670059683974	0.14908137776867902	0.0965213072421058	0.08348338642041701	0.0224192070636184	0.0037720222654610796	-0.11806471895529101	-0.17949437924169298	0.220832877775603	-0.0697366788089258	-0.0536090933742424	-0.0688021540873389	-0.108469198735599
TCGA.59.2363.01	0.0707535155071006	-0.0829177266615383	-0.389481824669007	-0.10611259260793598	-0.0638968986964753	-0.0037799433387234295	0.0654950731531885	0.034195934847883	-0.0128349310769794	-0.0571228373879505	-0.12050286655091301	-0.0641128844029641	-0.25640548751275194	-0.16935539305822903	0.205677831236171	-0.20824928151704397	-0.20149699449492398	-0.24000670625044	-0.22576366340261803
TCGA.59.A5PD.01	0.174489345924953	-0.0355502107585101	-0.26855840750545396	-0.0267370182369384	-0.157993512951048	-0.0139051861538163	0.0263806622896791	0.14732990870899898	0.0621808852190597	0.0808868372046645	0.106328741574335	-0.0230352232119835	-0.194347565286708	-0.16903565321920802	0.19287123790976698	-0.114352279462474	-0.119508924599842	-0.136231701328001	-0.11771468039484899
TCGA.5X.AA5U.01	0.0116465384656883	-0.15522149321200598	-0.5068390761793661	-0.125876208484462	-0.087900983924033	-0.0313127688098053	0.0455426871074912	0.0524363316020351	-0.0404670420142165	-0.0452436241070758	-0.0184419106401678	-0.116959299076711	-0.38856435733572997	-0.275668646545243	0.169678371582334	-0.249621884577808	-0.238637096285703	-0.27659175584164897	-0.305593601315683
TCGA.61.1721.01	0.0557718264713908	0.0221796580781513	-0.184414019046449	0.0850252725131658	0.425103460732489	0.0524288911767791	0.42122492460638794	0.20337138126832396	0.106520363795585	0.19657427377660897	-0.0324725807147324	0.126378590600389	-0.130466275056725	-0.0678487047094147	0.220931782217947	-0.0402025929646119	-0.0313665921421895	-0.0896582927919423	-0.124675643381443
TCGA.61.1724.01	0.0902752670873841	-0.0770380356687713	-0.22799697592058105	0.007344885728007191	-0.0258463064927607	0.011667517346007	0.106142742865931	0.17080909204244	0.11436915365751801	0.0905675520290588	0.0572780303258528	0.0029060939747977102	-0.191547024957811	-0.157411521046709	0.272082731687762	-0.0869363621327368	-0.10394909193608601	-0.122093760691074	-0.11197777913665499
TCGA.61.1725.01	0.10567449035536901	0.0310948307785694	-0.157244465495462	0.0714556178516675	0.047697506375703996	0.0988738103959305	0.155182972781049	0.19544441488078	0.14986450259561498	0.156497984982101	0.0660415441830884	0.0785624778460546	-0.10973116592102099	-0.0544056148902138	0.31926906938309196	-0.0654901894019784	-0.046092171942073	-0.0686914829350768	-0.105983783104343
TCGA.61.1728.01	0.0581428201596855	-0.0857045493662675	-0.315562856052743	-0.0318779570303417	-0.10958839901757499	-0.0278157066016941	0.0748927121438942	0.148089744521987	0.0647236590646462	0.0750426796628035	0.0727741440828869	-0.0059595761418406	-0.236864623699788	-0.15573990908688598	0.20387577920929603	-0.15658600475117598	-0.142782060061257	-0.18112675197388395	-0.20983963724921598
TCGA.61.1733.01	0.0599604105397378	-0.0709494943736948	-0.311681107714598	-0.0084768708543228	-0.0286979468644974	0.0372678411273944	0.118397840903051	0.11314545882282101	0.0628954842521276	0.0622300880534328	-0.0961018833419555	0.00569495178071165	-0.23925847321693902	-0.140867077599015	0.229524299763563	-0.133212688367204	-0.125735321727605	-0.18045358131257397	-0.176244265860149
