"Hugo_symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CHST13"	0.00903765294012437	3.02485671631572	0.134360070604196	0.893855637862634	0.982397309768404	-5.89267060158019
"LRP3"	-0.0123504983920526	3.23320371616106	-0.134023407346365	0.894119968009285	0.982562115843456	-5.89271358807597
"PLA2G4B"	-0.0143736895101503	4.09565565869456	-0.133941602174937	0.894184198944889	0.982562115843456	-5.89272401701452
"HIST1H2AB"	-0.037174431957018	6.70580499288853	-0.133913135079264	0.894206550613192	0.982562115843456	-5.89272764465252
"ASNA1"	-0.0342713669753341	10.1940621738027	-0.133821806524346	0.894278260154653	0.982567304865052	-5.89273927769447
"PCDH15"	-0.0159888511574087	3.59950901019113	-0.133546174872977	0.894494686632511	0.982664159235297	-5.89277433840916
"ENOX2"	0.0324006432856709	5.57019506602624	0.13353889984645	0.894500399107559	0.982664159235297	-5.89277526282412
"NEUROD6"	-0.0140275054605379	3.69604595160814	-0.133452166883746	0.894568503749711	0.982665379540235	-5.89278627983645
"PRMT1"	-0.0438628269151646	10.2633241006337	-0.133163917911471	0.894794849035803	0.982783372071057	-5.89282284248731
"SNX19"	0.0279418362249046	7.91842645485209	0.13312611286798	0.894824535817335	0.982783372071057	-5.89282763197173
"ZDHHC5"	0.0331532794764868	9.23642383348357	0.133059399221418	0.894876923737458	0.982783372071057	-5.89283608054524
"SLC25A12"	-0.0263006748423633	6.02081466484676	-0.132802358788385	0.895078773165156	0.982790949301324	-5.8928685924309
"MRPS18B"	-0.0330445916096087	5.38791581552152	-0.132796569245729	0.89508331967488	0.982790949301324	-5.89286932400085
"STBD1"	-0.0154426615577834	3.1974177624949	-0.132678762564016	0.89517583367267	0.982790949301324	-5.89288420320126
"C7orf46"	0.0405556995058101	5.82112012771483	0.132655092025792	0.895194422408043	0.982790949301324	-5.89288719124215
"FAT2"	-0.0244922817824778	4.6551413167095	-0.132624005457203	0.895218835125102	0.982790949301324	-5.89289111463366
"NDUFA7"	-0.0423648667581471	6.59984497609743	-0.132536141988101	0.895287836094978	0.982793143230141	-5.89290219878965
"UBP1"	0.027522732504992	5.95435293846271	0.132424112367578	0.89537581643192	0.982796079632616	-5.89291632091188
"EXOSC3"	0.0395267762340721	7.28448918460207	0.132343751026042	0.895438927512425	0.982796079632616	-5.89292644367661
"LDHD"	-0.0103323290251192	3.76760786299405	-0.132183645565694	0.8955646669971	0.982796079632616	-5.89294659315933
"LIMS1"	0.0834195888751026	9.55187749138583	0.132076128183844	0.895649107751	0.982796079632616	-5.89296011068774
"GRWD1"	-0.0276481394044135	4.40883907190197	-0.132046401237731	0.895672454572369	0.982796079632616	-5.89296384614289
"NFATC2"	0.0387634309118381	5.98448491361326	0.131937068221168	0.895758322877132	0.982796079632616	-5.89297757758278
"SLC25A23"	-0.0186465345496618	3.53671742621473	-0.131814760115273	0.895854383105246	0.982796079632616	-5.89299292513523
"ABCG4"	-0.0142100697836458	4.51740930936707	-0.131794837236301	0.895870030594119	0.982796079632616	-5.8929954237653
"ZBTB6"	0.031506661632541	5.10457669197534	0.131764909967542	0.895893535640013	0.982796079632616	-5.89299917638796
"WDR24"	-0.0107831920817372	4.04554051126343	-0.131593912809712	0.896027839598446	0.982869903621748	-5.89302060163469
"EIF1B"	0.0326423974725767	6.18199202318842	0.131240830025797	0.8963051663948	0.983032476970248	-5.89306475352085
"ZNF254"	-0.0558837971892903	14.4856704360133	-0.131192062090413	0.896343471920927	0.983032476970248	-5.89307084248277
"ZHX3"	-0.0422623696848552	6.22951912887704	-0.131149242764625	0.896377105227506	0.983032476970248	-5.89307618686206
"RPH3AL"	-0.011884856352613	4.47051133226987	-0.130966510464849	0.896520638192137	0.983057148211235	-5.8930989745149
"N6AMT1"	-0.0329294941989202	4.94188810323047	-0.130938901370399	0.896542324950613	0.983057148211235	-5.89310241475012
"PLCXD3"	-0.0409568476173057	5.11091724013118	-0.130864632225892	0.896600663264923	0.983057148211235	-5.89311166547145
"CDH22"	0.0250674571131686	4.37682833502954	0.130727877771985	0.896708085229635	0.983101442121854	-5.89312868544223
"SCNN1D"	-0.0128188560335722	3.4271663475253	-0.130623051817875	0.896790428379958	0.983118236433276	-5.89314171966988
"H2AFZ"	-0.0694583490020282	10.3805485190511	-0.130273006735023	0.89706540506806	0.983260259459793	-5.89318516916011
"SEMA6B"	0.0135921725828529	4.32840476973978	0.130236992118142	0.897093696955298	0.983260259459793	-5.89318963288093
"GFRA3"	-0.0125487401378401	3.46785775026099	-0.130202130174072	0.897121083470849	0.983260259459793	-5.89319395256288
"GPX3"	-0.0504779397461137	5.95342033628867	-0.13000267239901	0.897277774072526	0.983300333662785	-5.89321864480992
"ALOXE3"	0.0224583740157582	4.52101465171089	0.129932922589781	0.897332569309421	0.983300333662785	-5.89322727069288
"ACADS"	-0.0134235494837642	3.56774303988347	-0.129899586426885	0.897358758277205	0.983300333662785	-5.8932313917065
"ZDHHC24"	-0.0112932383618127	3.16692988806153	-0.129754709167239	0.897472575544778	0.983351590206231	-5.89324928914928
"KIF20A"	0.0567024631479365	7.57364160701112	0.129657377053519	0.897549042024371	0.983361917270203	-5.89326130188743
"C1orf159"	0.0166918034230106	4.02249433107629	0.129408422605535	0.89774463121055	0.983502744835039	-5.89329198689224
"IL3"	-0.015897433657849	3.56895520975977	-0.129200068199688	0.897908328254111	0.983608615297334	-5.89331762243077
"ZMAT3"	0.0140218253428488	4.3988745210062	0.129016628124623	0.898052454692779	0.98369303303963	-5.89334015839594
"SEC14L3"	0.0169162048387936	3.42532451234247	0.128887744188442	0.898153719190733	0.983707203087318	-5.89335597290205
"POP7"	0.0377082496504881	4.96641860176052	0.128829451130284	0.898199520790049	0.983707203087318	-5.8933631204764
"VPREB3"	0.0158954494725698	3.76735622903947	0.128571092503369	0.898402520708369	0.983856067922231	-5.89339476010615
"ZCCHC3"	-0.0217616495849784	5.89676140086735	-0.128396859629097	0.898539424476499	0.983932532901926	-5.89341606153519
"CLYBL"	-0.0316192508716266	5.24999663709788	-0.128074736417621	0.898792541600315	0.983982824392068	-5.89345536780062
"MAGEB6"	0.0117207859037922	3.14956970764861	0.127944030010069	0.898895250795019	0.983982824392068	-5.89347128878468
"SNX4"	-0.0306905193986156	6.96535811800962	-0.127796288073489	0.899011348645026	0.983982824392068	-5.89348926526531
"LRRC4"	0.0153566722614791	4.86980782112543	0.12775496749597	0.899043819383216	0.983982824392068	-5.89349428922787
"ENO1"	0.0204958202244008	6.79075013647252	0.127647658763903	0.899128146077557	0.983982824392068	-5.89350732877942
"CDC25C"	-0.0248281751160944	5.24296302838303	-0.127289144310642	0.899409886999975	0.983982824392068	-5.89355081405189
"CEP55"	-0.0309004698027531	5.31705627886235	-0.127249340902942	0.899441167582641	0.983982824392068	-5.89355563438831
