"entrez_id","hgnc_symbol","RG10T17","RG10T18","RG10T19","RG10T5","RG10T7","RG10T8","RG13T10","RG13T11","RG13T122","RG13T13","RG13T14","RG16T1","RG16T3","RG16T5","RG16T9","RG17T13","RG17T14","RG17T19","RG17T6","RG17T7","RG17T9","RG19-T10","RG19-T11","RG19-T7","RG19-T8","RG19-T9","RG1T3","RG1T5","RG1T6","RG1T7","RG20-T10","RG20-T12","RG20-T14","RG20-T8","RG4T1","RG4T2","RG4T3","RG4T4","RG4T5","RG5T12","RG5T13","RG5T14Rep","RG5T15","RG5T16","RG5T17","RG5T22","RG6T12","RG6T13","RG6T16","RG6T3"
"6423","SFRP2",3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,2,3,1,2,3,5,2,5,5,5,2,2,3,2,4,3,2,4,2,2,2,2,2,3,3,5,4,3,4,3,5,5,5,5
"64231","MS4A6A",5,5,5,5,4,4,4,2,3,4,3,2,2,2,2,3,3,3,2,3,3,2,3,2,2,2,5,5,4,3,5,5,6,6,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,3
"64232","MS4A5",5,5,5,5,4,4,4,2,3,4,3,2,2,2,2,3,3,3,2,3,3,2,3,2,2,2,5,5,4,3,5,5,6,6,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,3
"642345","MIR4500HG",3,3,2,NA,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,3,3,2,3,3,NA,NA,NA,3,2,8,8,8,8,2,2,2,2,2,2,2,3,3,2,2,3,4,5,4,4
"64236","PDLIM2",3,2,2,2,2,2,4,3,4,4,4,1,1,1,1,4,4,3,2,3,4,1,1,1,1,1,5,4,3,2,3,5,2,5,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2
"642361","LOC642361",3,2,2,2,2,2,5,2,5,4,5,3,3,3,3,4,4,4,2,3,4,3,3,3,3,3,3,3,4,3,5,3,2,4,3,3,3,3,3,4,4,7,5,4,5,5,8,6,6,5
"642366","LOC642366",5,5,5,5,4,4,5,2,5,4,5,NA,NA,NA,NA,3,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,5,5,4,5,4,4,4,7,5,4,5,5,NA,NA,NA,NA
"642394","ADARB2-AS1",3,2,2,2,2,2,5,2,5,4,5,2,2,2,2,4,4,6,3,3,4,4,4,4,4,4,NA,3,NA,5,5,5,2,5,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,8,8,7,6
"6424","SFRP4",3,2,2,2,2,2,5,2,5,4,5,3,3,3,3,4,4,4,3,4,3,2,4,2,2,2,3,3,3,2,4,5,7,5,2,2,2,2,2,2,2,3,3,2,2,3,5,4,4,3
"64240","ABCG5",5,3,3,3,3,3,5,2,5,4,3,3,3,3,3,5,5,5,2,4,5,2,4,2,2,2,5,4,7,5,5,5,5,5,4,4,4,4,4,4,4,7,5,5,5,5,NA,4,NA,NA
"64241","ABCG8",5,3,3,3,3,3,5,2,5,4,3,3,3,3,3,5,5,5,2,4,5,2,4,2,2,2,5,4,7,5,5,5,5,5,4,4,4,4,4,4,4,7,5,5,5,5,4,4,5,3
"642423",NA,5,4,4,4,4,4,4,2,2,3,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,3,3,3,2,5,5,5,5,3,3,3,3,3,4,4,7,5,4,5,5,8,6,6,5
"642446","TRIM64B",7,4,4,4,5,4,4,2,3,4,3,2,2,2,2,4,4,6,3,4,5,2,3,2,2,2,2,2,3,2,NA,5,7,NA,3,3,3,3,3,4,4,7,5,4,5,5,8,8,8,8
