Well	Case	Label	Site	Habitat	IF_index_file	CD8	FoxP3	CD4FoxP3	CD4	Cell_counts
B04	4	Omentum Yellow Omentum Green	omentum	yellow	59	203	4	1	210	3873
B04	4	Omentum Yellow Omentum Green	omentum	yellow	60	25	1	0	13	391
B04	4	Omentum Yellow Omentum Green	omentum	yellow	61	28	1	0	64	1010
B04	4	Omentum Yellow Omentum Green	omentum	yellow	62	28	1	0	4	1765
B04	4	Omentum Yellow Omentum Green	omentum	yellow	63	31	3	1	11	952
B04	4	Omentum Yellow Omentum Green	omentum	yellow	64	42	10	4	22	1537
B04	4	Omentum Yellow Omentum Green	omentum	yellow	65	59	9	5	15	1205
B04	4	Omentum Yellow Omentum Green	omentum	yellow	66	18	19	5	6	898
B04	4	Omentum Yellow Omentum Green	omentum	yellow	67	39	2	0	51	1259
B04	4	Omentum Yellow Omentum Green	omentum	yellow	68	104	24	11	59	4300
B04	4	Omentum Yellow Omentum Green	omentum	yellow	69	74	23	6	78	4021
B04	4	Omentum Yellow Omentum Green	omentum	yellow	70	29	26	8	36	2665
B04	4	Omentum Yellow Omentum Green	omentum	yellow	71	31	15	3	36	2586
B04	4	Omentum Yellow Omentum Green	omentum	yellow	72	103	50	14	81	3205
B04	4	Omentum Yellow Omentum Green	omentum	yellow	73	189	5	0	117	10266
B05	4	ant nxc Yellow Post nxc blue	omentum	blue	45	146	11	5	106	9135
B05	4	ant nxc Yellow Post nxc blue	omentum	blue	46	562	43	18	464	27526
B05	4	ant nxc Yellow Post nxc blue	omentum	blue	47	722	69	26	648	31413
B05	4	ant nxc Yellow Post nxc blue	omentum	blue	48	344	88	28	281	17656
B05	4	ant nxc Yellow Post nxc blue	omentum	blue	49	152	27	9	59	7144
B05	4	ant nxc Yellow Post nxc blue	omentum	blue	50	86	9	1	62	3788
B06	4	Omentum Yellow Omentum Green	omentum	green	78	247	24	3	78	33137
B06	4	Omentum Yellow Omentum Green	omentum	green	79	761	79	31	333	60998
B06	4	Omentum Yellow Omentum Green	omentum	green	80	223	402	179	255	14628
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	3	1556	278	131	2061	50642
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	4	1547	259	127	1891	46958
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	5	1731	311	181	1555	57261
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	6	1004	148	87	1167	23642
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	7	1127	189	97	1815	31855
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	8	2450	381	238	3503	72246
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	9	1380	75	55	2100	23988
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	10	2566	417	254	4286	73674
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	11	441	69	51	1904	15815
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	12	888	19	15	1411	10630
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	13	1345	221	105	1266	55778
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	14	1280	182	85	1055	53844
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	15	1458	338	128	1332	48628
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	16	1027	157	72	980	21781
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	17	1307	234	124	1089	48062
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	18	1214	181	82	1245	45962
B07	4	ant nxc Yellow Post nxc blue	ovary	yellow	19	2530	537	249	2335	77550
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	24	294	45	18	586	7695
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	25	314	48	23	500	6041
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	26	283	42	19	380	4446
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	27	218	24	10	276	3009
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	28	123	27	8	212	3078
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	29	152	22	7	206	2202
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	30	66	10	7	173	1415
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	31	27	2	2	37	735
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	32	1171	62	24	2353	9067
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	33	1499	265	151	1192	49864
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	34	1068	48	36	2273	9122
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	35	603	40	32	889	7224
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	36	537	19	15	502	6204
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	37	448	8	6	301	5027
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	38	495	12	11	332	4998
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	39	743	14	11	884	5677
B08	4	ant nxc Yellow Post nxc blue	ovary	blue	40	551	12	7	821	3688
B09	5	ovary yellow ovary blue	ovary	blue	72	577	33	15	579	93725
B10	5	ovary yellow ovary blue	ovary	yellow	2	819	104	71	3536	78155
B10	5	ovary yellow ovary blue	ovary	yellow	3	358	26	15	1137	57512
B10	5	ovary yellow ovary blue	ovary	yellow	4	1454	116	74	2978	78867
B10	5	ovary yellow ovary blue	ovary	yellow	5	1637	119	89	5575	106153
B10	5	ovary yellow ovary blue	ovary	yellow	6	66	6	1	211	37728
B10	5	ovary yellow ovary blue	ovary	yellow	7	890	66	39	1472	43286
B10	5	ovary yellow ovary blue	ovary	yellow	8	1108	100	61	3231	70972
B10	5	ovary yellow ovary blue	ovary	yellow	9	707	160	104	2607	35623
B10	5	ovary yellow ovary blue	ovary	yellow	10	1398	68	53	5175	56310
B10	5	ovary yellow ovary blue	ovary	yellow	11	734	66	46	2529	59067
B10	5	ovary yellow ovary blue	ovary	yellow	12	2634	81	58	4099	75781
B10	5	ovary yellow ovary blue	ovary	yellow	13	2195	196	143	6307	71824
B10	5	ovary yellow ovary blue	ovary	yellow	14	1107	110	73	2111	43386
B10	5	ovary yellow ovary blue	ovary	yellow	15	1779	256	151	2838	50736
B10	5	ovary yellow ovary blue	ovary	yellow	16	1079	140	100	3242	45526
B10	5	ovary yellow ovary blue	ovary	yellow	17	422	80	60	2323	38489
B10	5	ovary yellow ovary blue	ovary	yellow	18	191	17	6	604	50849
B10	5	ovary yellow ovary blue	ovary	yellow	19	136	17	8	405	56699
B11	5	ovary green cul de sac blue adnexa yellow	ovary	green	52	2009	353	161	3906	74332
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	24	1131	199	69	1691	79300
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	25	471	84	28	776	31827
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	26	566	93	52	1364	83672
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	27	392	61	32	860	91970
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	28	3131	403	220	4965	53325
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	29	715	136	84	1759	80386
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	30	1263	195	116	2704	88247
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	31	1294	246	140	2539	45112
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	32	1394	199	77	2181	54082
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	33	2711	381	156	3788	73189
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	34	1961	264	133	3017	50674
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	35	738	139	70	1190	25446
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	36	1493	183	110	2271	38653
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	37	2725	319	181	4081	64501
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	38	0	0	0	0	16
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	39	2774	384	218	4220	68582
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	40	2382	342	187	3613	62298
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	41	1577	300	129	2212	93779
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	42	1224	256	99	1797	77270
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	43	946	172	66	1499	42598
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	44	745	118	42	1183	55194
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	45	2738	384	196	3516	68118
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	46	4685	592	314	6481	90794
B12	5	ovary green cul de sac blue adnexa yellow	other	yellow	47	4191	493	266	5645	67105
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	15	960	168	120	1429	8798
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	16	2193	488	268	3235	24151
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	17	1091	207	114	1817	27509
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	18	683	150	80	935	8051
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	19	2414	289	114	1936	33097
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	20	2860	559	273	4089	34322
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	21	1740	250	99	2332	37463
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	22	1056	177	101	1365	14930
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	23	938	128	55	1052	13003
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	24	481	105	59	831	4551
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	25	554	123	56	1156	30638
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	26	2729	264	103	2382	35356
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	27	1746	291	144	3320	36317
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	28	2715	283	88	2282	44104
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	29	2065	284	149	2293	21469
C01	13	R Ovary Yellow Omentum Green Right Ovary Green	omentum	green	30	1310	274	101	1483	37165
C02	13	R Ovary Yellow Omentum Blue	omentum	blue	3	1003	158	76	1125	41475
C02	13	R Ovary Yellow Omentum Blue	omentum	blue	4	3300	447	227	4066	54375
C02	13	R Ovary Yellow Omentum Blue	omentum	blue	5	653	104	50	650	41934
C02	13	R Ovary Yellow Omentum Blue	omentum	blue	6	714	180	94	1238	54145
C02	13	R Ovary Yellow Omentum Blue	omentum	blue	7	828	483	188	1937	43196
C02	13	R Ovary Yellow Omentum Blue	omentum	blue	8	515	182	97	1132	32484
C02	13	R Ovary Yellow Omentum Blue	omentum	blue	9	432	68	47	798	14819
C03	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	green	34	0	0	0	5	486
C03	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	green	35	0	0	0	0	632
C03	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	green	36	21	12	7	59	1097
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	40	311	56	39	466	10638
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	41	623	329	71	801	19179
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	42	264	80	12	433	16923
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	43	754	732	189	1056	26691
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	44	543	100	53	887	25688
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	45	1205	330	146	1572	20128
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	46	930	158	90	1363	37317
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	47	855	177	114	1931	30605
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	48	357	94	56	813	29289
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	49	326	79	34	849	34846
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	50	729	99	42	686	38680
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	51	856	118	47	788	42083
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	52	1089	262	91	1715	68171
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	53	755	172	82	1359	56450
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	54	1231	328	166	2880	66429
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	55	524	330	87	1302	30741
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	56	592	208	89	1421	35020
